,taxon_id,kingdom,phylum,order,family,genus,species,scientific_name,country
36,1358491,Animalia,Arthropoda,Hymenoptera,Bethylidae,Cephalonomia,waterstoni,"Cephalonomia waterstoni Gahan, 1931",
37,5170999,Animalia,Arthropoda,Araneae,Araneidae,Argiope,argentata,"Argiope argentata (Fabricius, 1775)",
38,1362399,Animalia,Arthropoda,Hymenoptera,Chalcididae,Brachymeria,psyche,"Brachymeria psyche Burks, 1960",
39,3092583,Plantae,Tracheophyta,Asterales,Asteraceae,Silphium,laciniatum,Silphium laciniatum L.,
40,5342304,Plantae,Tracheophyta,Fabales,Fabaceae,Tephrosia,virginiana,Tephrosia virginiana (L.) Pers.,
41,5357388,Plantae,Tracheophyta,Fabales,Fabaceae,Amorpha,canescens,Amorpha canescens Pursh,
42,1046451,Animalia,Arthropoda,Coleoptera,Meloidae,Epicauta,murina,"Epicauta murina (LeConte, 1853)",
43,5295258,Plantae,Tracheophyta,Liliales,Smilacaceae,Smilax,ecirrhata,Smilax ecirrhata (Engelm. ex Kunth) S.Watson,
44,6391194,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Persicaria,maculosa,Persicaria maculosa Gray,
45,1393304,Animalia,Arthropoda,Hymenoptera,Pteromalidae,Anisopteromalus,calandrae,"Anisopteromalus calandrae (Howard, 1881)",
46,1370694,Animalia,Arthropoda,Hymenoptera,Eurytomidae,Bruchophagus,mexicanus,"Bruchophagus mexicanus Ashmead, 1894",
47,1397633,Animalia,Arthropoda,Hymenoptera,Pteromalidae,Dinarmus,colemani,"Dinarmus colemani (Crawford, 1913)",
48,1397612,Animalia,Arthropoda,Hymenoptera,Pteromalidae,Dinarmus,vagabundus,"Dinarmus vagabundus (Timberlake, 1926)",
49,1047341,Animalia,Arthropoda,Coleoptera,Chrysomelidae,Callosobruchus,chinensis,"Callosobruchus chinensis (Linnaeus, 1758)",
50,3120060,Plantae,Tracheophyta,Asterales,Asteraceae,Achillea,millefolium,Achillea millefolium L.,
51,8208358,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Plantago,lanceolata,Plantago lanceolata L.,
52,3189755,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Plantago,maritima,Plantago maritima L.,
53,5873218,Animalia,Arthropoda,Coleoptera,Carabidae,Harpalus,rubripes,"Harpalus rubripes (Duftschmid, 1812)",
54,3033339,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Ranunculus,repens,Ranunculus repens L.,
55,3118274,Plantae,Tracheophyta,Asterales,Asteraceae,Tanacetum,vulgare,Tanacetum vulgare L.,
56,7923802,Plantae,Tracheophyta,Malpighiales,Salicaceae,Salix,rubra,Salix rubra J.Walker,
57,3034652,Plantae,Tracheophyta,Apiales,Apiaceae,Chaerophyllum,procumbens,Chaerophyllum procumbens (L.) Crantz,
58,2990801,Plantae,Tracheophyta,Rosales,Rosaceae,Rubus,argutus,Rubus argutus Link,
59,2876213,Plantae,Tracheophyta,Fagales,Betulaceae,Alnus,glutinosa,Alnus glutinosa (L.) Gaertn.,
60,1048497,Animalia,Arthropoda,Coleoptera,Chrysomelidae,Diabrotica,virgifera,"Diabrotica virgifera LeConte, 1868",
61,7832723,Plantae,Tracheophyta,Asterales,Asteraceae,Symphyotrichum,lateriflorum,Symphyotrichum lateriflorum (L.) Á.Löve & D.Löve,
62,3034155,Plantae,Tracheophyta,Apiales,Apiaceae,Osmorhiza,longistylis,Osmorhiza longistylis (Torr.) DC.,
63,1048809,Animalia,Arthropoda,Coleoptera,Chrysomelidae,Lilioceris,lilii,"Lilioceris lilii (Scopoli, 1763)",
64,1287053,Animalia,Arthropoda,Hymenoptera,Ichneumonidae,Lemophagus,errabundus,"Lemophagus errabundus (Gravenhorst, 1829)",
65,3172348,Plantae,Tracheophyta,Lamiales,Oleaceae,Fraxinus,pennsylvanica,Fraxinus pennsylvanica Marshall,
66,3034755,Plantae,Tracheophyta,Apiales,Apiaceae,Oxypolis,rigidior,Oxypolis rigidior (L.) Raf.,
67,2882446,Plantae,Tracheophyta,Nymphaeales,Cabombaceae,Brasenia,schreberi,Brasenia schreberi J.F.Gmel.,
68,2490804,Animalia,Chordata,Passeriformes,Turdidae,Catharus,fuscescens,"Catharus fuscescens (Stephens, 1817)",
69,1067432,Animalia,Arthropoda,Coleoptera,Aphodiidae,Aphodius,coniugatus,"Aphodius coniugatus (Panzer, 1795)",
70,2441022,Animalia,Chordata,Artiodactyla,Bovidae,Bos,taurus,"Bos taurus Linnaeus, 1758",
71,2441110,Animalia,Chordata,Artiodactyla,Bovidae,Ovis,aries,"Ovis aries Linnaeus, 1758",
72,2440254,Animalia,Chordata,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,"Trichosurus vulpecula (Kerr, 1792)",
73,1164876,Animalia,Arthropoda,Coleoptera,Anthribidae,Tropideres,niveirostris,"Tropideres niveirostris Stephens, 1829",
74,2723213,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,comosa,Carex comosa Boott,
75,2857601,Plantae,Tracheophyta,Asparagales,Amaryllidaceae,Allium,ursinum,Allium ursinum L.,
76,1366766,Animalia,Arthropoda,Hymenoptera,Mymaridae,Anaphes,diana,"Anaphes diana (Girault, 1911)",
77,1366644,Animalia,Arthropoda,Hymenoptera,Mymaridae,Anaphes,fuscipennis,"Anaphes fuscipennis Haliday, 1833",
78,8324121,Plantae,Tracheophyta,Fabales,Fabaceae,Trifolium,pratense,Trifolium pratense L.,
79,2229649,Animalia,Arthropoda,Lithobiomorpha,Lithobiidae,Lithobius,crassipes,"Lithobius crassipes L.Koch, 1862",
80,2229847,Animalia,Arthropoda,Lithobiomorpha,Lithobiidae,Lithobius,macilentus,"Lithobius macilentus L.Koch, 1862",
81,2233759,Animalia,Arthropoda,Geophilomorpha,Geophilidae,Geophilus,studeri,"Geophilus studeri Rothenbühler, 1899",
82,1195812,Animalia,Arthropoda,Coleoptera,Curculionidae,Cossonus,corticola,"Cossonus corticola Say & T., 1832",
83,1202309,Animalia,Arthropoda,Coleoptera,Curculionidae,Centrinites,strigicollis,"Centrinites strigicollis T.L.Casey, 1892",
84,2165052,Animalia,Arthropoda,Araneae,Thomisidae,Xysticus,cristatus,"Xysticus cristatus (Clerck, 1757)",
85,1261955,Animalia,Arthropoda,Hymenoptera,Braconidae,Psyttalia,concolor,"Psyttalia concolor (Szepligeti, 1910)",
86,1308838,Animalia,Arthropoda,Hymenoptera,Ichneumonidae,Woldstedtius,citropectoralis,"Woldstedtius citropectoralis (Schmiedeknecht, 1926)",
87,1392022,Animalia,Arthropoda,Hymenoptera,Pteromalidae,Caenacis,lauta,"Caenacis lauta (Walker, 1835)",
88,1370985,Animalia,Arthropoda,Hymenoptera,Torymidae,Megastigmus,stigmatizans,"Megastigmus stigmatizans (Fabricius, 1798)",
89,5044707,Animalia,Arthropoda,Hymenoptera,Eurytomidae,Sycophila,flavicollis,"Sycophila flavicollis (Walker, 1834)",
90,1384221,Animalia,Arthropoda,Hymenoptera,Eulophidae,Aulogymnus,skianeuros,"Aulogymnus skianeuros (Ratzeburg, 1844)",
91,1391496,Animalia,Arthropoda,Hymenoptera,Pteromalidae,Mesopolobus,tibialis,"Mesopolobus tibialis (Westwood, 1833)",
92,1391525,Animalia,Arthropoda,Hymenoptera,Pteromalidae,Mesopolobus,xanthocerus,"Mesopolobus xanthocerus (Thomson, 1878)",
93,3034048,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,borbonia,Persea borbonia (L.) Spreng.,
94,5414255,Plantae,Tracheophyta,Aquifoliales,Aquifoliaceae,Ilex,cassine,Ilex cassine L.,
95,3039194,Plantae,Tracheophyta,Vitales,Vitaceae,Parthenocissus,quinquefolia,Parthenocissus quinquefolia (L.) Planch.,
96,2925303,Plantae,Tracheophyta,Lamiales,Verbenaceae,Lantana,camara,Lantana camara L.,
97,5171022,Animalia,Arthropoda,Araneae,Araneidae,Argiope,aurantia,"Argiope aurantia Lucas, 1833",
98,3170868,Plantae,Tracheophyta,Lamiales,Scrophulariaceae,Scrophularia,californica,Scrophularia californica Cham. & Schltdl.,
99,2971095,Plantae,Tracheophyta,Fabales,Fabaceae,Melilotus,albus,Melilotus albus Medik.,
100,1314881,Animalia,Arthropoda,Hymenoptera,Formicidae,Formica,fusca,"Formica fusca Linnaeus, 1758",
101,2473577,Animalia,Chordata,Galliformes,Phasianidae,Tetrao,urogallus,"Tetrao urogallus Linnaeus, 1758",
102,2166081,Animalia,Arthropoda,Araneae,Thomisidae,Thomisus,spectabilis,"Thomisus spectabilis Doleschall, 1859",
103,1329873,Animalia,Arthropoda,Hymenoptera,Vespidae,Odynerus,spinipes,"Odynerus spinipes (Linnaeus, 1758)",
104,5341499,Plantae,Tracheophyta,Lamiales,Lamiaceae,Nepeta,cataria,Nepeta cataria L.,
105,1332053,Animalia,Arthropoda,Hymenoptera,Eumenidae,Parancistrocerus,fulvipes,"Parancistrocerus fulvipes (de Saussure, 1856)",
106,3190557,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Rhus,copallina,Rhus copallina L.,
107,7353729,Plantae,Tracheophyta,Asterales,Asteraceae,Arctium,lappa,Arctium lappa L.,
108,1338361,Animalia,Arthropoda,Hymenoptera,Megachilidae,Coelioxys,elongata,"Coelioxys elongata Lepeletier, 1841",
109,2874655,Plantae,Tracheophyta,Cucurbitales,Cucurbitaceae,Sicyos,angulatus,Sicyos angulatus L.,
110,1340305,Animalia,Arthropoda,Hymenoptera,Apidae,Bombus,pratorum,"Bombus pratorum (Linnaeus, 1761)",
111,7640902,Animalia,Arthropoda,Trombidiformes,Podapolipidae,Locustacarus,buchneri,"Locustacarus buchneri Stammer, 1951",
112,3037033,Plantae,Tracheophyta,Apiales,Araliaceae,Aralia,hispida,Aralia hispida Vent.,
113,5333436,Plantae,Tracheophyta,Ericales,Ericaceae,Chamaedaphne,calyculata,Chamaedaphne calyculata (L.) Moench,
114,8193111,Plantae,Tracheophyta,Fabales,Fabaceae,Melilotus,officinalis,Melilotus officinalis (L.) Lam.,
115,2740310,Plantae,Tracheophyta,Liliales,Colchicaceae,Uvularia,grandiflora,Uvularia grandiflora Sm.,
116,5358748,Plantae,Tracheophyta,Fabales,Fabaceae,Trifolium,repens,Trifolium repens L.,
117,8271039,Plantae,Tracheophyta,Asparagales,Iridaceae,Iris,cristata,Iris cristata Aiton,
118,8113655,Plantae,Tracheophyta,Saxifragales,Grossulariaceae,Ribes,missouriense,Ribes missouriense Nutt. ex Torr. & A.Gray,
119,8251158,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Penstemon,digitalis,Penstemon digitalis Nutt.,
120,2891708,Plantae,Tracheophyta,Oxalidales,Oxalidaceae,Oxalis,violacea,Oxalis violacea L.,
121,1341604,Animalia,Arthropoda,Hymenoptera,Apidae,Triepeolus,lunatus,"Triepeolus lunatus (Say, 1824)",
122,3173073,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,americana,Justicia americana (L.) Vahl,
123,3170305,Plantae,Tracheophyta,Gentianales,Apocynaceae,Asclepias,tuberosa,Asclepias tuberosa L.,
124,3190544,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Rhus,glabra,Rhus glabra L.,
125,3170265,Plantae,Tracheophyta,Gentianales,Apocynaceae,Asclepias,sullivantii,Asclepias sullivantii Engelm. ex A.Gray,
126,3084015,Plantae,Tracheophyta,Caryophyllales,Phytolaccaceae,Phytolacca,americana,Phytolacca americana L.,
127,4556347,Animalia,Nematoda,Rhabditida,Pratylenchidae,Pratylenchus,penetrans,"Pratylenchus penetrans (Cobb, 1917) Filipjev & Schuurmans Stekhoven, 1941",
128,2557559,Fungi,Basidiomycota,Ustilaginales,Ustilaginaceae,Ustilago,striiformis,Ustilago striiformis (Westend.) Niessl,
129,2536240,Fungi,Basidiomycota,Agaricales,Agaricaceae,Mycocalia,duriaeana,Mycocalia duriaeana (Tul. & C.Tul.) J.T.Palmer,
130,3117449,Plantae,Tracheophyta,Asterales,Asteraceae,Erigeron,annuus,Erigeron annuus (L.) Pers.,
131,3146791,Plantae,Tracheophyta,Asterales,Asteraceae,Erigeron,canadensis,Erigeron canadensis L.,
132,8035698,Plantae,Tracheophyta,Asterales,Asteraceae,Anthemis,cotula,Anthemis cotula L.,
133,3085458,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Cerastium,fontanum,Cerastium fontanum Baumg.,
134,5396106,Plantae,Tracheophyta,Asterales,Asteraceae,Eurybia,macrophylla,Eurybia macrophylla (L.) Cass.,
135,1341751,Animalia,Arthropoda,Hymenoptera,Apidae,Triepeolus,loomisorum,"Triepeolus loomisorum Rozen, 1989",
136,1353918,Animalia,Arthropoda,Hymenoptera,Halictidae,Lasioglossum,athabascense,"Lasioglossum athabascense (Sandhouse, 1933)",
137,1355229,Animalia,Arthropoda,Hymenoptera,Halictidae,Lasioglossum,nymphaearum,"Lasioglossum nymphaearum (Robertson, 1895)",
138,5384604,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Stellaria,media,Stellaria media (L.) Vill.,
139,3190089,Plantae,Tracheophyta,Sapindales,Rutaceae,Zanthoxylum,americanum,Zanthoxylum americanum Mill.,
140,5694867,Plantae,Tracheophyta,Asterales,Asteraceae,Taraxacum,tenejapense,Taraxacum tenejapense A.J.Richards,
141,3119144,Plantae,Tracheophyta,Asterales,Asteraceae,Helianthus,angustifolius,Helianthus angustifolius L.,
142,3119211,Plantae,Tracheophyta,Asterales,Asteraceae,Helianthus,strumosus,Helianthus strumosus L.,
143,8136092,Plantae,Tracheophyta,Malpighiales,Salicaceae,Salix,sericea,Salix sericea Muhl.,
144,3130997,Plantae,Tracheophyta,Asterales,Asteraceae,Tephroseris,praticola,Tephroseris praticola (Schischk. & Serg.) Holub,
145,1358088,Animalia,Arthropoda,Hymenoptera,Andrenidae,Andrena,cineraria,"Andrena cineraria (Linnaeus, 1758)",
146,2753574,Plantae,Tracheophyta,Liliales,Liliaceae,Clintonia,borealis,Clintonia borealis (Aiton) Raf.,
147,1366701,Animalia,Arthropoda,Hymenoptera,Mymaridae,Anaphes,regulus,"Anaphes regulus Walker, 1846",
148,1385950,Animalia,Arthropoda,Hymenoptera,Eulophidae,Euplectrus,bicolor,"Euplectrus bicolor (Swederus, 1795)",
149,1389173,Animalia,Arthropoda,Hymenoptera,Eulophidae,Pediobius,eubius,"Pediobius eubius (Walker, 1839)",
150,1389031,Animalia,Arthropoda,Hymenoptera,Eulophidae,Pediobius,planiventris,"Pediobius planiventris (Thomson, 1878)",
151,5088031,Animalia,Arthropoda,Diptera,Tephritidae,Urophora,cardui,"Urophora cardui (Linnaeus, 1758)",
152,1309640,Animalia,Arthropoda,Hymenoptera,Cynipidae,Biorhiza,pallida,"Biorhiza pallida (Olivier, 1791)",
153,5009537,Animalia,Arthropoda,Coleoptera,Chrysomelidae,Bruchus,rufipes,"Bruchus rufipes Herbst, 1783",
154,1551672,Animalia,Arthropoda,Diptera,Agromyzidae,Phytomyza,ilicis,"Phytomyza ilicis Curtis, 1846",
155,4497124,Animalia,Arthropoda,Hymenoptera,Cynipidae,Andricus,quercuscalicis,"Andricus quercuscalicis (Burgsdorff, 1783)",
156,1371696,Animalia,Arthropoda,Hymenoptera,Torymidae,Torymus,cingulatus,"Torymus cingulatus Nees, 1834",
157,4502282,Animalia,Arthropoda,Hymenoptera,Torymidae,Megastigmus,pictus,"Megastigmus pictus (Forster, 1841)",
158,1309692,Animalia,Arthropoda,Hymenoptera,Cynipidae,Neuroterus,quercusbaccarum,"Neuroterus quercusbaccarum (Linnaeus, 1758)",
159,1739605,Animalia,Arthropoda,Lepidoptera,Tortricidae,Sparganothis,pilleriana,"Sparganothis pilleriana (Denis & Schiffermüller, 1775)",
160,1395681,Animalia,Arthropoda,Hymenoptera,Pteromalidae,Homoporus,luniger,"Homoporus luniger (Nees, 1834)",
161,1730145,Animalia,Arthropoda,Megaloptera,Corydalidae,Archichauliodes,diversus,"Archichauliodes diversus (Walker, 1853)",
162,2004476,Animalia,Arthropoda,Plecoptera,Perlodidae,Cultus,decisus,"Cultus decisus (Walker, 1852)",
163,8078711,Chromista,Ochrophyta,Achnanthales,Achnanthaceae,Achnanthes,minutissima,"Achnanthes minutissima Kützing, 1833",
164,4413813,Animalia,Platyhelminthes,Cyclophyllidea,Amabiliidae,Joyeuxilepis,acanthorhyncha,"Joyeuxilepis acanthorhyncha (Wedl, 1855) Borgarenko & Gulyaev, 1990",
165,8583926,Animalia,Chordata,Squamata,Dactyloidae,Anolis,equestris,"Anolis equestris Merrem, 1820",
166,2483606,Animalia,Chordata,Passeriformes,Tyrannidae,Sayornis,phoebe,"Sayornis phoebe (Latham, 1790)",
167,5201728,Animalia,Chordata,Siluriformes,Bagridae,Bagrus,docmak,"Bagrus docmak (Forsskål, 1775)",
168,2359706,Animalia,Chordata,Cypriniformes,Cyprinidae,Rutilus,rutilus,"Rutilus rutilus (Linnaeus, 1758)",
169,1434182,Animalia,Arthropoda,Trichoptera,Rhyacophilidae,Rhyacophila,dorsalis,"Rhyacophila dorsalis (Curtis, 1834)",
170,2307956,Animalia,Annelida,Rhynchobdellida,Glossiphoniidae,Glossiphonia,complanata,"Glossiphonia complanata (Linnaeus, 1758)",
171,5101313,Animalia,Arthropoda,Megaloptera,Sialidae,Sialis,lutaria,"Sialis lutaria (Linnaeus, 1758)",
172,1438081,Animalia,Arthropoda,Trichoptera,Polycentropodidae,Plectrocnemia,geniculata,"Plectrocnemia geniculata McLachlan, 1871",
173,4485375,Animalia,Arthropoda,Hemiptera,Corixidae,Hesperocorixa,sahlbergi,"Hesperocorixa sahlbergi (Fieber, 1848)",
174,1311798,Animalia,Arthropoda,Hymenoptera,Vespidae,Dolichovespula,sylvestris,"Dolichovespula sylvestris (Scopoli, 1763)",
175,5053104,Animalia,Arthropoda,Trichoptera,Sericostomatidae,Sericostoma,personatum,"Sericostoma personatum (Kirby & Spence, 1826)",
176,1456255,Animalia,Arthropoda,Diptera,Chironomidae,Polypedilum,convictum,"Polypedilum convictum (Walker, 1856)",
177,1645141,Animalia,Arthropoda,Diptera,Simuliidae,Simulium,intermedium,"Simulium intermedium Roubaud, 1906",
178,1645072,Animalia,Arthropoda,Diptera,Simuliidae,Simulium,lundstromi,"Simulium lundstromi (Enderlein, 1921)",
179,4297461,Animalia,Arthropoda,Diptera,Tachinidae,Microtendipes,pedellus,"Microtendipes pedellus De Geer, 1776",
180,1442729,Animalia,Arthropoda,Trichoptera,Limnephilidae,Limnephilus,rhombicus,"Limnephilus rhombicus (Linnaeus, 1758)",
181,2219853,Animalia,Arthropoda,Amphipoda,Gammaridae,Gammarus,pulex,"Gammarus pulex (Linnaeus, 1758)",
182,1442307,Animalia,Arthropoda,Trichoptera,Limnephilidae,Chaetopteryx,villosa,"Chaetopteryx villosa (Fabricius, 1798)",
183,5209574,Animalia,Chordata,Perciformes,Percidae,Gymnocephalus,cernua,"Gymnocephalus cernua (Linnaeus, 1758)",
184,9809222,Animalia,Chordata,Cypriniformes,Cyprinidae,Abramis,brama,"Abramis brama (Linnaeus, 1758)",
185,2181245,Animalia,Arthropoda,Trombidiformes,Sperchontidae,Sperchon,glandulosus,"Sperchon glandulosus Koenike, 1886",
186,1452946,Animalia,Arthropoda,Diptera,Chironomidae,Eukiefferiella,pseudomontana,"Eukiefferiella pseudomontana Goetghebuer, 1935",
187,1979308,Animalia,Arthropoda,Lepidoptera,Geometridae,Hydriomena,impluviata,"Hydriomena impluviata (Denis & Schiffermüller, 1775)",
188,2808813,Plantae,Tracheophyta,Asparagales,Orchidaceae,Isotria,verticillata,Isotria verticillata (Muhl. ex Willd.) Raf.,
189,1469000,Animalia,Arthropoda,Diptera,Tachinidae,Hebia,flavipes,"Hebia flavipes Robineau-Desvoidy, 1830",
190,1819873,Animalia,Arthropoda,Lepidoptera,Erebidae,Orgyia,antiqua,"Orgyia antiqua (Linnaeus, 1758)",
191,1864377,Animalia,Arthropoda,Lepidoptera,Sphingidae,Deilephila,elpenor,"Deilephila elpenor (Linnaeus, 1758)",
192,1920496,Animalia,Arthropoda,Lepidoptera,Pieridae,Pieris,rapae,"Pieris rapae (Linnaeus, 1758)",
193,1822587,Animalia,Arthropoda,Lepidoptera,Notodontidae,Furcula,bifida,"Furcula bifida (Brahm, 1787)",
194,5109614,Animalia,Arthropoda,Lepidoptera,Noctuidae,Cucullia,asteris,"Cucullia asteris (Denis & Schiffermüller, 1775)",
195,5114198,Animalia,Arthropoda,Lepidoptera,Noctuidae,Colocasia,coryli,"Colocasia coryli (Linnaeus, 1758)",
196,1787859,Animalia,Arthropoda,Lepidoptera,Noctuidae,Hadena,bicruris,"Hadena bicruris (Hufnagel, 1766)",
197,1470134,Animalia,Arthropoda,Diptera,Tachinidae,Carcelia,puberula,"Carcelia puberula Mesnil, 1941",
198,4388497,Animalia,Arthropoda,Hemiptera,Coreidae,Enoplops,scapha,"Enoplops scapha (Fabricius, 1794)",
199,4485824,Animalia,Arthropoda,Hemiptera,Pentatomidae,Dolycoris,baccarum,"Dolycoris baccarum (Linnaeus, 1758)",
200,1475170,Animalia,Arthropoda,Diptera,Tachinidae,Cryptomeigenia,theutis,"Cryptomeigenia theutis (Walker, 1849)",
201,1957572,Animalia,Arthropoda,Lepidoptera,Geometridae,Peribatodes,rhomboidaria,"Peribatodes rhomboidaria (Denis & Schiffermüller, 1775)",
202,5769068,Animalia,Arthropoda,Lepidoptera,Geometridae,Agriopis,marginaria,"Agriopis marginaria (Fabricius, 1776)",
203,1979473,Animalia,Arthropoda,Lepidoptera,Geometridae,Hydriomena,furcata,"Hydriomena furcata (Thunberg, 1784)",
204,5216646,Animalia,Chordata,Anura,Bufonidae,Atelopus,varius,"Atelopus varius (Lichtenstein & Martens, 1856)",
205,1397567,Animalia,Arthropoda,Hymenoptera,Pteromalidae,Stenomalina,micans,"Stenomalina micans (Olivier, 1813)",
206,2424630,Animalia,Chordata,Anura,Myobatrachidae,Uperoleia,laevigata,"Uperoleia laevigata Keferstein, 1867",
207,5250821,Fungi,Entomophthoromycota,Entomophthorales,Entomophthoraceae,Pandora,dipterigena,Pandora dipterigena (Thaxt.) Humber,
208,1476897,Animalia,Arthropoda,Diptera,Tachinidae,Admontia,blanda,"Admontia blanda (Fallén, 1820)",
209,7613490,Plantae,Tracheophyta,Lamiales,Bignoniaceae,Campsis,radicans,Campsis radicans (L.) Seem.,
210,1311671,Animalia,Arthropoda,Hymenoptera,Vespidae,Vespula,vulgaris,"Vespula vulgaris (Linnaeus, 1758)",
211,1528985,Animalia,Arthropoda,Diptera,Muscidae,Hydrotaea,armipes,"Hydrotaea armipes (Fallén, 1825)",
212,5400563,Plantae,Tracheophyta,Asterales,Asteraceae,Eupatorium,altissimum,Eupatorium altissimum L.,
